"X0.0215010658660862","X1.0413203454256e.06","X1.28733875039288e.08","X3.38599972364478e.08","X1.02599820485172e.19","X0.337009576668187","X3.89181368161517e.09","X0.25256048733208","X3.21833710268827e.08","X0.025086854118363","X1.12168239909844e.07","X0.10602753942166","X7.73012250241197e.09","X3.1867387319307e.08","X6.15855337602641e.08","X0.0947466718492769","X3.50798319135022e.08","X5.43537111579087e.09","X0.0537527375159951","X0.10931368923295"
0.0215010658660862,1.0413203454256e-06,1.28733875039288e-08,3.38599972364478e-08,1.02599820485172e-19,0.337009576668187,3.89181368161517e-09,0.25256048733208,3.21833710268827e-08,0.025086854118363,1.12168239909844e-07,0.10602753942166,7.73012250241197e-09,3.1867387319307e-08,6.15855337602641e-08,0.0947466718492769,3.50798319135022e-08,5.43537111579087e-09,0.0537527375159951,0.10931368923295
0.0337286271643091,3.08079203469429e-22,0.0542270044975546,0.0864889285824833,4.8483270804394e-09,0.147069558475415,0.0141850308257659,0.136092342355523,0.00590179241026417,2.34398685891499e-05,5.49135849821569e-08,0.24313164660136,5.186224548491e-08,3.59489301258921e-07,2.83048745658932e-07,0.0429273987709618,1.31423358159604e-07,5.16121693205306e-08,0.0373160696862578,0.198907223563784
0.00286733348753359,3.59881154145523e-08,1.46739577691015e-08,6.65655935037575e-08,7.45100643773717e-09,0.11051449630718,4.69716192370916e-08,0.198438423970584,1.87824308465969e-08,0.195550858838313,1.17577064503148e-07,0.227749122047586,1.85476325185561e-07,0.0981279579437889,1.44173443024241e-08,0.0933698301735912,7.94594220065419e-09,5.79807353028764e-19,4.20980268747659e-08,0.073381419283997
0.000139467873757626,8.33292375479414e-20,1.27920727067272e-08,4.72381360655796e-08,1.96710669783821e-08,0.236774204548245,5.90112566388065e-09,0.0733540296749722,6.44825033986522e-08,0.149207042967537,7.02968516479205e-08,0.250598103379358,6.22953639053393e-09,4.05257175356761e-07,0.0607600288293101,0.03907352663991,0.0380805694080626,1.35825975438887e-08,8.60147171022413e-07,0.15201152108061
2.16729657079275e-05,3.3253172545802e-09,0.0287928755127179,0.0498828174289516,1.11345965106513e-20,0.152610441258452,0.0142866882457985,0.127954044534319,0.0328886744690378,0.0480654789216212,1.08477131446811e-08,0.243237030710924,6.06844485087181e-05,0.0109298290916587,0.0266736558748114,0.0327179325092879,0.00173584136154145,2.38258738058483e-07,0.0334787961841339,0.19666328405076
0.0174221648317136,1.80708530662983e-08,0.0262745052541926,0.0204220845190334,3.14654464920941e-09,0.232189500344099,2.26221492049279e-08,0.153787209563015,6.25426814393516e-09,0.0358293244866576,6.2705160352207e-22,0.234007051676568,1.2523987121777e-09,0.00439642314468454,0.0498919764979391,0.0497251527295554,5.16203334399878e-08,7.46319525080382e-08,0.0211345066379823,0.15491992271606
0.0625870030840864,3.58880001740745e-08,2.32046956075825e-08,0.0036035881240811,2.08143828532533e-08,0.272845272726144,1.76287219077548e-08,0.177693695510008,2.96116192370219e-09,0.0516606096260265,1.38837124612911e-08,0.233309017710972,1.03319057869841e-19,1.23795075415786e-05,2.93074826312564e-08,0.0894551603060378,4.51522703367859e-08,2.73223824804613e-09,1.24728459848234e-07,0.108832957103977
0.0592746149390948,1.98928610965727e-08,1.12176648828105e-08,0.0182030232706779,1.1133380867978e-21,0.196624622556529,2.89523440376179e-08,0.109210482396873,2.63756888212617e-08,0.0778670304464744,3.31129719124563e-08,0.194051267473261,1.50343277682394e-07,1.10801198732242e-07,4.21299005355305e-08,0.0835869960788347,0.042968247555094,1.84332698703697e-08,0.036588263886518,0.181625010137465
2.38365917727385e-08,2.40413753443567e-09,2.62509137024088e-21,1.25539590025002e-08,0.00431961482189845,0.100631053421871,6.53743485705663e-09,0.137972516763667,1.22083214245896e-08,0.304068612404714,2.51627998457958e-08,0.218710554897284,1.46958644847115e-07,3.20807901781057e-08,0.119264820536843,0.0134048280522631,1.22861363598409e-08,0.0227314349750895,1.13514125133376e-08,0.0788962787461425
1.43894603260519e-07,1.55543458122963e-20,0.0031325751432675,0.0937149950428452,1.5966300265585e-08,0.172970034574917,1.3879192787912e-07,0.0707741871542438,0.024080897640384,0.0761950539251886,8.95026243108699e-09,0.273276886858013,2.82608617871337e-08,1.01828871148264e-07,0.0477735202444512,0.0154420673383076,0.00952968093318637,0.00567386690850675,2.68237168908778e-07,0.207435528306693
