"X4.10578187503852e.08","X0.127596150242775","X3.92133455993713e.06","X0.00559526988584661","X3.01408170246388e.20","X2.32974407822824e.07","X0.0278163545512776","X0.0303900356464296","X2.51487721940572e.07","X0.0208478758418532","X2.3791400409295e.08","X0.344585046952459","X0.0208109983451158","X6.4477910958925e.07","X0.00423556960052924","X1.07076083810835e.08","X2.63039214137677e.08","X0.0612902789196213","X1.96965600043905e.07","X0.356827070611944"
4.10578187503852e-08,0.127596150242775,3.92133455993713e-06,0.00559526988584661,3.01408170246388e-20,2.32974407822824e-07,0.0278163545512776,0.0303900356464296,2.51487721940572e-07,0.0208478758418532,2.3791400409295e-08,0.344585046952459,0.0208109983451158,6.4477910958925e-07,0.00423556960052924,1.07076083810835e-08,2.63039214137677e-08,0.0612902789196213,1.96965600043905e-07,0.356827070611944
5.62053848052077e-08,0.149249136167308,1.36905444797184e-07,2.74985869905392e-07,7.60269938446566e-19,4.08389263515018e-07,0.0256113172420487,0.0154940923719711,1.23745521857883e-07,1.85658287114574e-06,2.03281092405109e-08,0.337604773465605,0.0195310091887905,1.41921840970778e-07,2.50786826158175e-07,9.10707170631194e-09,2.03169712578594e-08,0.0643996012467892,8.79379305940066e-08,0.388106683104382
8.00092175923063e-08,0.218059289935645,3.52890179788977e-08,3.69984671864853e-08,9.83703733871365e-17,1.31826420741932e-08,0.0169742336049995,1.23465439733994e-07,4.05498251378852e-08,4.48800991347063e-08,1.6704811329034e-08,0.279500772186914,0.00247483428454831,5.65478997838281e-08,3.6791138482938e-08,4.9875116660068e-10,1.27892611315616e-08,0.040542533301959,4.31345454315681e-08,0.442447795844818
5.3060789602117e-08,0.0653581221199465,1.44676005807289e-06,0.0881070121199223,5.79099681990949e-09,0.327158472359166,1.145745778833e-08,0.0384008052283203,7.25803790148768e-08,1.89856840308447e-08,1.70728657063266e-19,0.222142772266662,7.25284817459e-10,1.44664196928165e-08,1.9049518785463e-07,1.42801463636972e-08,1.54545215555239e-07,0.0308849294951522,1.27155771323199e-08,0.227945890547634
6.92527021567254e-08,0.238737968926404,2.52718670012423e-08,3.02656659633116e-08,1.11636450807549e-09,0.0811797691548863,8.67771723144602e-08,3.12656395256709e-08,2.74519563495108e-08,2.47298036465355e-08,1.27743638128405e-08,0.215842527420845,4.47975567042402e-08,2.99481711642588e-08,2.5439940225928e-08,9.64667068450923e-18,1.22436443323626e-08,0.0363259566520454,3.49800579297536e-08,0.427913321530914
4.51845246291129e-08,1.39954922513876e-20,0.0390185860590493,0.0598530656666704,7.82346349515987e-09,0.175199066122605,1.40991969994578e-07,0.0708774157853091,0.0461505703736688,0.0657633767395702,7.65530360097172e-09,0.264472133419992,1.75551375454097e-08,1.41527288219635e-07,0.0567561695520713,0.00970537031967299,1.01174646050301e-06,3.82195897804218e-06,0.00516015233579016,0.207038899182475
3.25143777540476e-08,0.915416090166936,2.01163249025454e-08,1.79740475010874e-08,1.8336185504003e-08,2.16537593845761e-07,3.32859442229683e-08,4.88567887138089e-08,1.37638102284157e-08,1.29727401538248e-08,1.05144303278111e-08,7.75705836229621e-08,2.11256160378692e-08,1.267045562255e-08,1.20690986246433e-08,1.98595749761532e-12,1.30644962015576e-08,1.76582670422072e-07,1.854454988509e-08,0.0845831533313643
3.41296989222236e-08,0.117988491491994,5.49293027420047e-08,7.10540278013985e-08,6.15891473098041e-09,0.406443089622261,7.63477397876752e-09,1.87377199622333e-07,2.57178400652858e-08,6.89750387552398e-09,3.08617018257481e-09,0.178275234210386,2.77145516780125e-11,5.43760064633954e-09,2.35721547892329e-08,1.02269513659521e-11,2.38770702542083e-08,0.0545077869378251,1.13285636855342e-08,0.242784936498771
6.88858981966545e-12,2.47565844984385e-10,5.31643964374325e-12,5.40552795832845e-12,5.31702333871323e-12,2.8819955367176e-12,7.15298526164707e-12,9.00121500953373e-12,2.78931806135377e-12,2.50446802349309e-12,1.70869651994569e-12,1.30837478539239e-11,5.63826665531954e-12,1.53548441655067e-12,2.68187417350844e-12,2.96252022319674e-17,2.50078088106656e-12,1.00000000170974,3.08637796350269e-12,3.35373022201117e-11
3.85420018975214e-08,1.14690283070755e-09,0.00737169966270692,0.122786692501235,2.19304450130717e-08,0.328870505925941,1.33561714717296e-08,0.0587416867347118,3.94363494806704e-08,3.49064267719845e-08,2.77616260383467e-09,0.234557877241766,8.30846104363104e-21,1.6619957714589e-08,0.00527622873732761,5.417049692536e-08,0.011527160520437,0.0380833572698128,2.67286957554538e-08,0.192784541792451
2.64173234517512e-08,2.81021639126763e-08,2.29242758483552e-07,0.0196920927602755,2.79503731634395e-08,0.460582604714169,7.98097209780318e-09,3.3787351793557e-07,2.72759146093996e-08,7.79834853034122e-09,3.64210330815736e-09,0.218863069650598,1.31978809782124e-15,3.87700065151339e-09,2.99603645716382e-08,2.3203876096961e-09,4.46491831418452e-08,0.111385313251232,1.12933921853766e-08,0.18947613123992
