"Date","PFE.log_returns","AAPL.log_returns","MSFT.log_returns","GOOG.log_returns","NVDA.log_returns","BRK.B.log_returns","JPM.log_returns","JNJ.log_returns","V.log_returns","UNH.log_returns","HD.log_returns","PG.log_returns","BAC.log_returns","DIS.log_returns","MA.log_returns","NFLX.log_returns","ADBE.log_returns","CRM.log_returns","CMCSA.log_returns","XOM.log_returns"
"2009-02-01",-0.169239019293024,-0.00913950264937746,-0.0571579443470496,-0.0015964150788319,0.0406708671089848,-0.153370347628115,-0.0979939014346587,-0.143061110693989,0.139012769394184,-0.365844258164304,-0.0301762607953449,-0.11647550252114,-0.510318830052304,-0.209575471186463,0.152675260618331,0.0027632592145368,-0.145214303675668,0.0509174022486818,-0.111377538389556,-0.118993643632768
"2009-03-01",0.122404697674744,0.162989183033934,0.135631714519876,0.0293585420343851,0.17464316776043,0.0951683967508519,0.151207740626238,0.0589514461753584,-0.0178153447371736,0.0631062453716464,0.120279710480521,-0.0226754094428205,0.546143490400522,0.0796297288968426,0.0580789179910295,0.169174492039143,0.247514729452173,0.156087564351828,0.0434520052701,0.0079679563296069
"2009-04-01",-0.0192740258664732,0.179829324649659,0.0979294188815536,0.128963578937395,0.152120487586933,0.0833106449375682,0.216348275185998,-0.00457322341702548,0.15558787080927,0.118128921169366,0.123197918081285,0.0486992321546902,0.272300642535602,0.187265312549592,0.0910780992479783,0.0541897168391838,0.245793048255816,0.268479677708566,0.125249256224252,-0.0212223507545306
"2009-05-01",0.128372561402042,0.076324921951586,0.030622306780185,0.0522991797413219,-0.0959202549213022,-0.030812453190487,0.113482763936936,0.0520954712760693,0.0414631324233818,0.123060228454861,-0.12790250709059,0.0579312149128581,0.232728033148811,0.100692226748966,-0.0386791002359836,-0.139254323841502,0.0298959744843557,-0.120502228290153,-0.111063138672249,0.0394109917892362
"2009-06-01",-0.00131991192418157,0.0475938462403878,0.135484236770789,0.0103956512145857,0.079231083204482,-0.0259046608417375,-0.0786212152962626,0.0381071249734015,-0.0823040212516699,-0.0628356519442086,0.0200905640126421,-0.016304227939,0.158072577795485,-0.0374386457019811,-0.0525088088562278,0.0475570992796674,0.00424926039014961,0.00578029484064979,0.0488939936244897,0.0139925063214159
"2009-07-01",0.0601538758807569,0.137289048484575,-0.0105731456872293,0.049649414795077,0.135633144773403,0.0937079838219796,0.124956248970315,0.0695328886041264,0.0501203007222011,0.116269842196657,0.102472540542863,0.0827786920051516,0.114610837238891,0.0739240985255174,0.148164330759994,0.0609945781561385,0.135913682138158,0.127026180842836,0.0272869480713169,0.00684251682205828
"2009-08-01",0.0472050835830622,0.0290732044196105,0.0469259837748401,0.0411676013416202,0.11597647638282,0.0326326114574425,0.118761692800406,-0.00741808358974572,0.0826482923264731,-0.00214070878864892,0.050734047340208,-0.0175834193037785,0.173379352275222,0.0359694818355814,0.0443005075535208,-0.00708008927510018,-0.0313308245726867,0.17966456814222,0.0353937779180242,-0.0177729221403622
"2009-09-01",0.00098356930488297,0.0970327275426603,0.0480990947836912,0.0714231713303652,0.0345214187804428,0.0111969374074645,0.00824881429532276,0.0154896345464919,-0.0268570569211675,-0.111729745008957,-0.0241065845521504,0.0680438199409821,-0.0388341909215573,0.053096667008294,-0.00237142765864284,0.0565852065001662,0.0502743411067703,0.0930818805523841,0.0969704738473722,-0.00175033370568567
"2009-10-01",0.0285902849989306,0.0168518613661586,0.0752458701482257,0.0780845679457678,-0.228480757922682,-0.0121102813035634,-0.0479120528289658,-0.030684208677989,0.0918713352754215,0.0356968503386734,-0.0516652518454772,0.00138014865692648,-0.148237935360144,-0.00328289603107734,0.0801531651719132,0.146416399951253,-0.00303129330362939,-0.00316679196202285,-0.151980928326563,0.0436340724371944
"2009-11-01",0.0647949741442582,0.0587696405673181,0.0588197470261771,0.0838291067578525,0.0879864506347812,0.0210977367845153,0.0183001366376003,0.0622070984693206,0.0668788301575627,0.0996798016599105,0.0866126356016399,0.0799186000904575,0.0835188450023359,0.0990563867666534,0.0958000634869145,0.0924999057890048,0.0629435366417099,0.0993867659950984,0.0154461308044933,0.0463489293115962
"2009-12-01",0.0106187096544041,0.0527104234909701,0.040146478816061,0.0615000667360071,0.357899330760851,-0.0201843928884164,-0.0194871407117554,0.0325570018744252,0.0782803690342684,0.0612194379714324,0.0557970373472938,-0.0279736741257408,-0.0511271615099127,0.0650142203988175,0.0608837907809301,-0.0622783159848286,0.0473229662863335,0.162909677034196,0.139821198590024,-0.0903195095306004
"2010-01-01",0.025510389817458,-0.0927698277116822,-0.0784580587019841,-0.156923395500138,-0.193735407959119,0.150971981504303,-0.0677596771758728,-0.0243588626520115,-0.064096765575143,0.0794366437077976,-0.0240598414211779,0.015059934019348,0.0085655629992285,-0.0759683279891816,-0.0240387081365081,0.122190277121325,-0.129886979378662,-0.149125113760685,-0.0630374623603187,-0.0567188116589419
"2010-02-01",-0.0613282251470042,0.0633466415482229,0.0172386145675243,-0.00594283438235221,0.0512933146437178,0.0472749882657313,0.0761338444004989,0.00222468300555967,0.03885516535893,0.0257270496778883,0.107856416288008,0.0348740654061075,0.0930316089678271,0.0556155840844732,-0.107178662357001,0.0592535020368397,0.0702305630646265,0.0669451100552152,0.0434614612393625,0.00880755637336339
