"X3.17946174275532e.08","X1.53526347304499e.08","X2.883374795246e.07","X4.40671752280903e.08","X1.05584972031312e.17","X0.135622537609414","X5.90657175868649e.09","X6.64940022661113e.08","X5.30032364053576e.08","X0.123384492854452","X2.58493796431055e.08","X0.230739656826745","X8.34564922936237e.09","X2.93386464034565e.07","X0.292195344878526","X2.71521318728895e.09","X2.44331255510805e.08","X1.02925456736912e.07","X1.70991108996548e.09","X0.218057003509946"
3.17946174275532e-08,1.53526347304499e-08,2.883374795246e-07,4.40671752280903e-08,1.05584972031312e-17,0.135622537609414,5.90657175868649e-09,6.64940022661113e-08,5.30032364053576e-08,0.123384492854452,2.58493796431055e-08,0.230739656826745,8.34564922936237e-09,2.93386464034565e-07,0.292195344878526,2.71521318728895e-09,2.44331255510805e-08,1.02925456736912e-07,1.70991108996548e-09,0.218057003509946
8.3485109678439e-08,3.77617024096564e-20,0.0396399619036805,0.0492161429960066,1.04076432740127e-08,0.125387503860613,0.0211968345658968,0.103702873908582,0.058180569796297,0.0502164456189099,1.80842515471892e-08,0.24336256725476,9.52553811652551e-10,0.00130710120623621,0.0482746948473435,0.0164518258094143,1.49469476600558e-07,2.77296202187156e-07,0.0329443453096852,0.210118593227337
3.07330231582203e-08,4.09998312739652e-20,0.109847136490004,0.00525525065574952,4.8561094043479e-08,0.104942126355095,6.91816173932627e-08,0.122117120304351,0.0681339074834753,0.0478408079305582,1.51353245421907e-08,0.252105235435028,2.15325641293981e-07,0.051518611012204,0.034786686348997,5.56120699328876e-08,2.32220921058307e-08,5.99783592183373e-07,3.43900866496916e-08,0.203452026039996
1.31331526762932e-07,5.46836889343363e-09,0.0635697804198245,0.0189711965635235,2.32825694709249e-19,0.127169830383096,4.63768068305173e-08,2.10722904276691e-07,0.0495153356491654,0.111982541269819,8.7999184021507e-09,0.32597451687715,1.92265906750799e-08,4.14788754016996e-07,0.078847087072882,1.37467334807767e-07,1.21456471911753e-07,0.00482863123199931,5.69493057880966e-09,0.219139979198933
0.0191682200530962,0.0712176512416185,0.0851543493169258,0.0110203747694975,3.66306686610307e-08,0.178957823492555,3.51187702982898e-08,0.00285806759320576,0.0468127612889114,1.39130073200076e-07,5.30130374055882e-08,0.195218389246304,3.14580391824084e-08,0.114042720665655,0.00693072284373109,2.61976441604302e-20,2.49078995263702e-07,8.17257385481068e-08,0.0270242541688356,0.241594039164342
8.85750940877679e-07,0.0743990176938274,0.0375862583237237,0.000252222681857355,1.33701003626605e-08,0.177531036369657,3.38858212648582e-08,0.0303107266522415,0.0265803201036559,4.04738963074169e-07,2.32572029070217e-08,0.254694352271874,1.74369557771946e-08,0.020336068651254,0.0626145635028009,1.38592849210903e-20,4.49780180753535e-08,0.036689227837713,1.18769126237463e-08,0.279004770616481
0.200424813512254,7.32362279997112e-07,0.152637536547553,7.87407459415168e-06,3.14057851830128e-07,0.039431629112316,7.13510548415976e-08,8.40139676024529e-08,4.54424520122858e-06,0.296977091263693,1.19938904946294e-07,0.240637759288286,2.35772527838906e-07,5.05391800064792e-06,1.84753692628747e-07,1.93222263476598e-19,7.94837950489978e-08,1.34061484108802e-05,2.2817863239604e-08,0.0698584473377535
4.1233552436336e-07,0.158226217807756,2.88853335022338e-07,0.13604865104151,1.12417984366141e-07,0.436555989342506,5.59305327907218e-08,7.74865920618946e-08,8.31678594971719e-07,4.50458306427269e-07,9.09176307041919e-08,0.0236671405202772,1.35888036520966e-07,5.15589469792627e-06,1.2413928335448e-07,4.22522913633845e-17,3.45823182152081e-08,3.75370139891412e-08,1.83831903528725e-07,0.245494009336197
7.90033250102471e-08,4.0280350927862e-21,0.0322890439509424,0.0634517296286719,2.33549634199901e-08,0.147031223518311,0.00293731331308581,0.0754286243216807,0.063032517332609,0.0739344563284205,2.46019370239416e-08,0.261095129968145,8.19050780575424e-08,0.00480024795437473,0.045756898437078,0.0111480534998556,1.21222042461976e-07,1.0244145363437e-06,0.00540909403006343,0.213684313214879
1.54788953579325e-07,7.02465604434748e-20,1.17520426490067e-07,0.117342480728328,1.05970404038573e-08,0.179020640942042,1.77882166753449e-07,0.0545163467596395,0.0398938513990446,0.0686239257781968,7.41914892537137e-09,0.268144604908644,2.89737108480219e-08,0.000282605738758695,0.030970267244519,0.0111577257848488,0.00198486128287652,0.00933185886331639,3.54849848826209e-08,0.218730297903354
