"X5.97905355577862e.08","X7.82387594179297e.08","X0.014140827265615","X0.0926954394672924","X0.00287991193185831","X1.91270469320331e.07","X3.11045886057468e.08","X0.0498481236543346","X0.0614994833984183","X2.99534866383973e.08","X4.41669012089128e.08","X0.477983157678969","X9.01987072148524e.10","X0.184128424223099","X2.92814624940364e.08","X1.20695108897506e.08","X8.79926244833969e.08","X7.78406240383675e.21","X2.20800260760341e.08","X0.116824045530061"
5.97905355577862e-08,7.82387594179297e-08,0.014140827265615,0.0926954394672924,0.00287991193185831,1.91270469320331e-07,3.11045886057468e-08,0.0498481236543346,0.0614994833984183,2.99534866383973e-08,4.41669012089128e-08,0.477983157678969,9.01987072148524e-10,0.184128424223099,2.92814624940364e-08,1.20695108897506e-08,8.79926244833969e-08,7.78406240383675e-21,2.20800260760341e-08,0.116824045530061
5.1769162445476e-08,8.51031246314521e-20,0.0499026359273678,0.0352239129509849,2.43372363792869e-09,0.152261521733682,0.00826948066672689,0.0989775424591671,0.0451725862883674,0.0540455858676447,1.27017943092667e-08,0.242273034279641,4.01093689604344e-08,1.43687243036699e-07,0.0762148419116497,0.00975217836457981,2.04596825121969e-06,1.50973376237845e-07,0.0281840900950475,0.199720141812221
6.06243466146689e-08,5.36210997026238e-19,0.0766573753607227,0.00853037908746813,1.2730586964972e-08,0.0959397358759833,2.21615285301634e-07,0.0431430629162411,0.0879672102647771,0.138889288506093,2.02677722692107e-08,0.289186976543371,7.34094162226308e-08,2.1692639195198e-07,0.0200185733580078,5.18957356883079e-08,2.59741735233316e-08,0.0391609530162828,3.00762048739622e-08,0.200505731551139
9.45786035392673e-08,4.49698619366747e-21,8.27536493535115e-08,0.191601642449218,8.37451840651e-09,0.191839063421911,9.39045395988296e-08,0.076284158877093,7.76458576877819e-08,0.0725814269475041,4.26423585593428e-09,0.219332600342915,2.36106319351818e-08,0.0385758465836138,0.0307313494121288,1.9970509378495e-08,9.11809595266484e-08,4.77050742404587e-07,2.87323905449469e-07,0.179052651307463
3.35339545618794e-08,2.93164263770796e-20,0.0503160751813094,0.0238210118192082,6.63320632634194e-09,0.137765518763901,0.0146495620659026,0.0937324946120972,0.0557157608174568,0.0585470746005477,1.72392181092808e-08,0.25420120592451,4.41686760424476e-08,1.6825379053849e-06,0.0647087547114574,0.0143438060590327,3.86884779573387e-05,1.21763349892662e-07,0.0263100362162451,0.205848104874063
0.0326158629954585,3.90441975740572e-19,0.0801838841537177,8.99812059245765e-08,0.00163358652196509,0.202477686536557,3.80032526197105e-08,0.00535048326534577,0.312802814685869,5.78360505018164e-08,1.03507481517996e-07,0.106364488799073,2.20877667970502e-08,6.77261040531268e-08,4.52576250906338e-08,1.17543291178216e-07,4.88523233155175e-07,2.4963802221697e-07,0.00310053213639293,0.255469380801587
2.78688614495693e-08,3.16040060274833e-23,0.0728611962995706,0.00264878387652617,1.68725729325869e-10,0.134664070841031,0.00379578582875431,0.0706846391371262,0.0557956653981171,0.0596790802069343,1.05133526994561e-08,0.263248835938168,2.70854884628751e-08,2.19390147458633e-07,0.0838721131450779,0.00589686645447896,1.18570127504651e-07,0.00320284330971203,0.0241025165322883,0.219547199435512
4.18353645240558e-08,6.10049211135652e-20,0.0239185677292655,0.0738069800433704,1.68033681079645e-08,0.155211161191322,2.38115047829211e-05,0.07195269841898,0.0719655207685526,0.0855476947230632,3.11625206549872e-08,0.260326384441119,3.76346455228665e-08,5.97659727163061e-06,0.0319593227037222,0.0144057053759587,4.19285997086849e-06,8.35232732179304e-08,3.56805087191505e-06,0.210868204632576
2.80761037799103e-08,0.0121702230427078,3.07151375627982e-05,0.157878829152892,3.74915340098137e-21,0.221865221549927,1.89456239400867e-08,0.0856992492723025,0.046805769638297,7.09763997766384e-08,3.39845686867346e-09,0.215379105894688,7.51845698012814e-09,2.59318284124877e-05,1.92670257861232e-08,3.65245826781661e-08,1.04273150702647e-08,0.0218250763034016,0.000481014114881454,0.237838668930962
4.74783689623415e-08,1.77473182803425e-20,0.0108957755022439,0.0715868136070685,2.91200662171238e-08,0.144461443848296,7.43084957978393e-06,0.0658896677106526,0.0632822064182034,0.0987005388955068,1.44554368364074e-08,0.273806959272451,2.43692713638308e-08,2.10321031238938e-07,0.048874286069583,0.0137838674849821,9.46801216472837e-08,2.73097287474972e-07,3.54997769342049e-06,0.208706766842156
